,Category,Name,Location,Elevator Region,Cluster,Spelling
0,Cafe,Trung Nguyen Cafe,L1-71,,,"Trung Nguyen Cafe, Trung Nguyen"
1,General,Livewire by Singapore Pools,L1-01,,B_2,"Livewire by Singapore Pools, Livewire, Singapore Pools, live wire"
2,General,Far East Exchange,L1-07,,C_2,Far East Exchange
3,Gourmet & Specialty Food,VOM FASS,L1-11,,C_2,VOM FASS
4,Gourmet & Specialty Food,Da Vinci,L1-29,,B_2,"Da Vinci, DaVinci"
5,Gourmet & Specialty Food,Gong Cha,L1-72,,A_3,"Gong Cha, Gongcha"
6,Gourmet & Specialty Food,7-Eleven,L1-73,,A_3,"7-Eleven, seven eleven"
7,"Handsbag, Shoes & Accessories",Massimo Bonini,L1-31,,B_3,"Massimo Bonini, Massimo, Bonini"
8,"Handsbag, Shoes & Accessories",LANA MARKS,L1-41,,B_4,"LANA MARKS, LANAMARKS"
9,"Handsbag, Shoes & Accessories",Harley-Davidson,L1-63,,A_2,"Harley-Davidson,Harley Davidson, HarleyDavidson"
10,Jewellery,DeGem (Hotel Lobby),L1-03,,C_1,"DeGem (Hotel Lobby), DeGem"
11,Jewellery,LEVIEV (Hotel Lobby),L1-08,,C_2,"LEVIEV (Hotel Lobby), LEVIEV"
12,Jewellery,Mikimoto,L1-21,,B_2,Mikimoto
13,Jewellery,Piaget,L1-48,,B_5,Piaget
14,Jewellery,Mondial,L1-56,,A_1,Mondial
15,Lifestyle & Gifts,Fossil Collections,L1-09,,C_2,Fossil Collections
16,Lifestyle & Gifts,The Gems Garden,L1-10,,C_2,The Gems Garden
17,Lifestyle & Gifts,Ultimate Drive (Hotel Lobby),L1-14,,B_1,"Ultimate Drive (Hotel Lobby), Ultimate Drive"
18,Lifestyle & Gifts,Da Vinci,L1-29,,B_2,"Da Vinci, DaVinci"
19,Lifestyle & Gifts,Les Affaires,L1-67,,A_2,Les Affaires
20,Restaurants,Au Chocolat,L1-03,,C_1,"Au Chocolat, AuChocolat"
21,Restaurants,Jin Shan (Hotel Lobby),L1-05,,C_1,"Jin Shan (Hotel Lobby), Jin Shan, JinShan"
22,Restaurants,Carnivore Brazillian Churrascraria,L1-80,,A_3,"Carnivore Brazillian Churrascraria, Carnivore, Churrascraria, Brazillian Churrascraria"
23,Restaurants,Rio Tapas,L1-80,,A_3,"Rio Tapas, RioTapas, Tapas"
24,Restaurants,Yu Cuisine L1,L1-82,,A_5,"Yu Cuisine L1, Yu L1"
25,Restaurants,Caffe B L1,L1-83,,A_5,"Caffe B L1, Cafe B L1"
26,Restaurants,Bazin,L1-84,,B_6,Bazin
27,Restaurants,South Coast,L1-85,,B_6,South Coast
28,Restaurants,Hide Yamamoto,L1-86,,B_7,"Hide Yamamoto, Yamamoto, Hideo Yamamoto"
29,Restaurants,Pita Pan,L1-87,,C_3,"Pita Pan, Pita"
30,Restaurants,DOM Lounge,L1-88,,C_3,"DOM Lounge, DOM"
31,"Sports, Beauty & Wellness",Dragon Brand Bird's Nest,L1-08,,C_2,"Dragon Brand Bird's Nest, Bird's Nest, Dragon Brand"
32,"Sports, Beauty & Wellness",Orogold Cosmetics L1,L1-12,,C_2,"Orogold Cosmetics L1, Orogold L1"
33,"Sports, Beauty & Wellness",Kenko Reflexology & Fish Spa,L1-15,,B_1,"Kenko Reflexology & Fish Spa, Kenko, Reflexology & Fish Spa"
34,"Sports, Beauty & Wellness",Penhaligon's,L1-33,,B_3,Penhaligon's
35,"Sports, Beauty & Wellness",Forever Flawless,L1-64,,A_2,Forever Flawless
36,"Sports, Beauty & Wellness",ZELL-V ,L1-66,,A_2,"ZELL-V, ZELL"
37,"Sports, Beauty & Wellness",The Sloane Clinic,L1-68,,A_2,"The Sloane Clinic, Sloane Clinic"
38,Watches,Hermes Watch Boutique,L1-43,,B_4,"Hermes Watch Boutique, Hermes Watch"
39,Watches,Richard Mille,L1-51,,B_5,Richard Mille
40,Watches,Franck Mullet,L1-55,,A_1,Franck Mullet
41,Watches,Ulysse Nardin,L1-57,,A_1,Ulysse Nardin
